"placename","date","days","Canada goose","Common Raccoon","Coyote","Domestic cat","Domestic dog","Eastern Gray Squirrel","Fox","Great Blue Heron","Mourning dove","North American beaver","Northern flicker","Pileated woodpecker","Unidentified mouse","Unidentified species","Unknown bird","Virginia opossum","White-tailed deer"
"-2845.78613218618","2022-10",7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"-2845.78613218618","2022-11",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"-2845.76420527468","2022-10",8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"-2845.76420527468","2022-11",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"-2845.76420527468","2022-12",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"-2845.76420527468","2023-02",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"-2845.76420527468","2023-03",14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"-2845.74570399235","2022-10",8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,24
"-2845.74570399235","2022-11",17,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,46
"-2845.74570399235","2022-12",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"-2845.7453426342","2022-11",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"-2845.7453426342","2022-12",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"-2845.74531805131","2023-01",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"-2845.74531805131","2023-02",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"-2845.7428558824","2023-01",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"-2845.7428558824","2023-02",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.7428558824","2023-03",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.7428558824","2023-04",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.73307183234","2022-10",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"-2845.73307183234","2022-11",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"-2845.71563785825","2022-12",3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2
"-2845.71563785825","2023-01",31,1,4,0,1,0,32,0,1,0,1,0,0,0,0,0,0,5
"-2845.71563785825","2023-02",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"-2845.70670883739","2022-10",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"-2845.70670883739","2022-11",8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"-2845.70670883739","2022-12",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"-2845.70670883739","2023-02",5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.70554576247","2022-10",8,0,0,0,0,0,9,0,0,0,0,1,1,1,0,0,1,3
"-2845.70554576247","2022-11",17,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,3,3
"-2845.70554576247","2022-12",11,0,1,0,0,0,25,0,0,1,0,0,0,1,0,0,1,2
"-2845.70087099763","2022-11",19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5
"-2845.70087099763","2022-12",19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
"-2845.6951585608","2023-01",5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
"-2845.6951585608","2023-02",5,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,4
"-2845.6951585608","2023-03",18,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,7
"-2845.6951585608","2023-04",11,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,10
"-2845.6835278608","2022-12",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"-2845.6835278608","2023-01",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"-2845.6835278608","2023-02",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"-2845.6835278608","2023-03",17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"-2845.6835278608","2023-04",11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"-2845.65233784409","2022-10",8,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,8
"-2845.65233784409","2022-11",17,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,2,10
"-2845.65233784409","2022-12",11,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1
"-2845.63428861333","2023-01",5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
"-2845.63428861333","2023-02",5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"-2845.63428861333","2023-03",18,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,3,2
"-2845.63428861333","2023-04",11,1,0,1,0,0,10,0,0,0,0,1,0,0,0,1,0,3
"-2845.6312052175","2022-11",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"-2845.6312052175","2022-12",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"-2845.6312052175","2023-01",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"-2845.62435405673","2023-02",24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,20
"-2845.62435405673","2023-03",14,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,10
"-2845.62102807858","2022-10",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"-2845.62102807858","2022-11",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"-2845.60410737862","2022-12",3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
"-2845.60410737862","2023-01",31,0,2,1,0,1,8,0,0,0,0,0,0,0,0,0,0,25
"-2845.60410737862","2023-02",5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"-2845.60410737862","2023-03",18,2,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,16
"-2845.60410737862","2023-04",11,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,4
"-2845.59487417065","2022-10",8,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,34
"-2845.59487417065","2022-11",17,0,3,0,0,0,5,2,0,0,0,0,0,0,0,0,1,50
