"placename","date","days","Canada goose","Common Raccoon","Coyote","Domestic cat","Domestic dog","Eastern Gray Squirrel","Fox","Great Blue Heron","Mourning dove","North American beaver","Northern flicker","Pileated woodpecker","Unidentified mouse","Unidentified species","Unknown bird","Virginia opossum","White-tailed deer"
"-2845.78613218618","2022-42",6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"-2845.78613218618","2022-44",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"-2845.78613218618","2022-45",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.76420527468","2022-42",6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"-2845.76420527468","2022-43",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"-2845.76420527468","2022-44",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"-2845.76420527468","2022-45",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"-2845.76420527468","2022-46",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"-2845.76420527468","2022-47",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"-2845.76420527468","2022-51",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"-2845.76420527468","2022-52",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"-2845.76420527468","2023-06",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.76420527468","2023-07",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.76420527468","2023-08",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.76420527468","2023-09",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"-2845.76420527468","2023-10",7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"-2845.76420527468","2023-11",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"-2845.74570399235","2022-42",6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,20
"-2845.74570399235","2022-43",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"-2845.74570399235","2022-44",6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26
"-2845.74570399235","2022-45",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"-2845.74570399235","2022-46",6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9
"-2845.74570399235","2022-47",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"-2845.74570399235","2022-51",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"-2845.74570399235","2022-52",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"-2845.7453426342","2022-46",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.7453426342","2022-47",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"-2845.7453426342","2022-51",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.7453426342","2022-52",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"-2845.74531805131","2023-04",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"-2845.74531805131","2023-05",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"-2845.74531805131","2023-06",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.7428558824","2023-04",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.7428558824","2023-05",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"-2845.7428558824","2023-06",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.7428558824","2023-11",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.7428558824","2023-12",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.7428558824","2023-13",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.7428558824","2023-14",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.7428558824","2023-15",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.73307183234","2022-42",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"-2845.73307183234","2022-43",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"-2845.73307183234","2022-44",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.73307183234","2022-45",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.73307183234","2022-46",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"-2845.73307183234","2022-47",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.71563785825","2022-52",3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2
"-2845.71563785825","2023-01",7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2
"-2845.71563785825","2023-02",7,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1
"-2845.71563785825","2023-03",7,0,2,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0
"-2845.71563785825","2023-04",7,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"-2845.71563785825","2023-05",7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4
"-2845.71563785825","2023-06",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.70670883739","2022-42",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"-2845.70670883739","2022-43",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"-2845.70670883739","2022-44",6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"-2845.70670883739","2022-45",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.70670883739","2022-46",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.70670883739","2022-51",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"-2845.70670883739","2023-06",5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"-2845.70554576247","2022-42",6,0,0,0,0,0,8,0,0,0,0,1,1,1,0,0,1,3
"-2845.70554576247","2022-43",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"-2845.70554576247","2022-44",6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
"-2845.70554576247","2022-45",2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"-2845.70554576247","2022-46",6,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1
"-2845.70554576247","2022-47",4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2
"-2845.70554576247","2022-51",6,0,0,0,0,0,10,0,0,1,0,0,0,1,0,0,1,2
"-2845.70554576247","2022-52",5,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
"-2845.70087099763","2022-45",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"-2845.70087099763","2022-46",7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"-2845.70087099763","2022-47",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
