"date","placename","days","Common Racoon","Coyote","Fox","Gray squirrel","Mourning dove","Mouse","North American beaver","Northern flicker","Pileated woodpecker","Virginia opossum","White-tailed deer"
2022-10-17,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-18,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,2
2022-10-19,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-20,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,4
2022-10-21,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-22,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,3
2022-10-23,"-2845.621",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-17,"-2845.595",1,0,1,0,0,0,0,0,0,0,0,1
2022-10-18,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,4
2022-10-19,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,4
2022-10-20,"-2845.595",1,0,0,0,1,0,0,0,0,0,0,6
2022-10-21,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,9
2022-10-22,"-2845.595",1,0,0,0,1,0,0,0,0,0,0,7
2022-10-23,"-2845.595",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-17,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,2
2022-10-18,"-2845.652",1,0,0,0,0,0,0,0,0,0,1,2
2022-10-19,"-2845.652",1,0,0,0,2,0,0,0,0,0,1,1
2022-10-20,"-2845.652",1,1,0,0,1,0,0,0,0,0,0,3
2022-10-21,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-22,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-23,"-2845.652",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-17,"-2845.706",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-18,"-2845.706",1,0,0,0,2,0,0,0,0,0,0,1
2022-10-19,"-2845.706",1,0,0,0,2,0,0,0,0,0,0,0
2022-10-20,"-2845.706",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-21,"-2845.706",1,0,0,0,2,0,0,0,1,1,0,0
2022-10-22,"-2845.706",1,0,0,0,2,0,0,0,0,0,1,1
2022-10-23,"-2845.706",1,0,0,0,1,0,0,0,0,0,0,0
2022-10-17,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-18,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-19,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-20,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-21,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-22,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-23,"-2845.733",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-17,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-18,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-19,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-20,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-21,"-2845.764",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-22,"-2845.764",1,1,0,0,0,0,0,0,0,0,0,0
2022-10-23,"-2845.764",1,0,0,0,1,0,0,0,0,0,0,0
2022-10-17,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-18,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-19,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-20,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-21,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-22,"-2845.786",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-17,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-18,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,3
2022-10-19,"-2845.746",1,0,0,0,1,0,0,0,0,0,0,4
2022-10-20,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,5
2022-10-21,"-2845.746",1,0,0,0,0,0,0,1,0,0,0,5
2022-10-22,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,3
2022-10-23,"-2845.746",1,0,0,0,0,0,0,0,0,0,0,3
2022-10-17,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-18,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-19,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,2
2022-10-20,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,1
2022-10-21,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,0
2022-10-22,"-2845.707",1,0,0,0,0,0,0,0,0,0,0,1
