"placename","date","days","Common Raccoon","Coyote","Fox","Gray squirrel","Mourning dove","Mouse","North American beaver","Northern flicker","Pileated woodpecker","Unidentified mouse","Unidentified species","Virginia opossum","White-tailed deer"
"-2845.595","2022-10",8,0,1,0,3,0,0,0,0,0,0,0,1,36
"-2845.595","2022-11",17,3,0,2,5,0,0,0,0,0,0,0,1,57
"-2845.621","2022-10",8,0,0,0,0,0,0,0,0,0,0,0,0,24
"-2845.621","2022-11",17,0,0,0,0,0,0,0,0,0,0,0,0,44
"-2845.631","2022-11",19,0,0,0,0,0,0,0,0,0,0,0,0,22
"-2845.631","2022-12",19,0,0,0,0,0,0,0,0,0,0,0,0,13
"-2845.652","2022-10",8,1,0,0,3,0,0,0,0,0,0,0,3,13
"-2845.652","2022-11",17,1,0,0,26,0,0,0,0,0,0,0,2,10
"-2845.652","2022-12",11,1,0,0,8,0,0,0,0,0,0,0,0,1
"-2845.701","2022-11",19,0,0,0,2,0,0,0,0,0,0,0,0,6
"-2845.701","2022-12",19,0,0,0,5,0,0,0,0,0,0,0,0,9
"-2845.706","2022-10",8,0,0,0,9,0,0,0,1,1,0,0,1,3
"-2845.706","2022-11",17,1,0,0,17,0,0,0,0,0,0,0,3,3
"-2845.706","2022-12",11,1,0,0,24,3,1,0,0,0,0,0,1,3
"-2845.707","2022-10",8,0,0,0,0,0,0,0,0,0,0,0,0,5
"-2845.707","2022-11",8,2,0,0,0,0,0,0,0,0,0,0,0,12
"-2845.707","2022-12",2,0,0,0,0,0,0,0,0,0,0,0,0,1
"-2845.733","2022-10",8,0,0,0,0,0,0,0,0,0,0,0,0,4
"-2845.733","2022-11",17,0,0,0,0,0,0,0,0,0,0,0,0,6
"-2845.745","2022-11",10,0,0,0,0,0,0,0,0,0,0,0,0,1
"-2845.745","2022-12",11,0,0,0,0,0,0,0,0,0,0,0,0,4
"-2845.746","2022-10",8,0,0,0,1,0,0,1,0,0,0,0,0,24
"-2845.746","2022-11",17,1,0,0,2,0,0,0,0,0,0,0,0,51
"-2845.746","2022-12",11,0,0,0,0,0,0,0,0,0,0,0,0,5
"-2845.764","2022-10",8,1,0,0,1,0,0,0,0,0,0,0,0,1
"-2845.764","2022-11",17,0,0,0,0,0,0,0,0,0,0,0,0,11
"-2845.764","2022-12",11,0,0,0,0,0,0,0,0,0,0,0,0,9
"-2845.786","2022-10",7,0,0,0,0,0,0,0,0,0,0,0,0,2
"-2845.786","2022-11",7,0,0,0,0,0,0,0,0,0,0,0,0,3
