"placename","days","Common Raccoon","Coyote","Fox","Gray squirrel","Mourning dove","Mouse","North American beaver","Northern flicker","Pileated woodpecker","Unidentified mouse","Unidentified species","Virginia opossum","White-tailed deer"
"-2845.595",25,3,1,2,8,0,0,0,0,0,0,0,2,93
"-2845.621",25,0,0,0,0,0,0,0,0,0,0,0,0,68
"-2845.631",38,0,0,0,0,0,0,0,0,0,0,0,0,35
"-2845.652",36,3,0,0,37,0,0,0,0,0,0,0,5,24
"-2845.701",38,0,0,0,7,0,0,0,0,0,0,0,0,15
"-2845.706",36,2,0,0,50,3,1,0,1,1,0,0,5,9
"-2845.707",18,2,0,0,0,0,0,0,0,0,0,0,0,18
"-2845.733",25,0,0,0,0,0,0,0,0,0,0,0,0,10
"-2845.745",21,0,0,0,0,0,0,0,0,0,0,0,0,5
"-2845.746",36,1,0,0,3,0,0,1,0,0,0,0,0,80
"-2845.764",36,1,0,0,1,0,0,0,0,0,0,0,0,21
"-2845.786",14,0,0,0,0,0,0,0,0,0,0,0,0,5
