"placename","days","Common Raccoon","Coyote","Fox","Gray squirrel","Mourning dove","Mouse","North American beaver","Northern flicker","Pileated woodpecker","Unidentified mouse","Unidentified species","Virginia opossum","White-tailed deer"
"-2845.595",25,3,1,2,8,0,0,0,0,0,0,0,2,80
"-2845.621",25,0,0,0,0,0,0,0,0,0,0,0,0,50
"-2845.631",38,0,0,0,0,0,0,0,0,0,0,0,0,16
"-2845.652",36,3,0,0,37,0,0,0,0,0,0,0,4,19
"-2845.701",38,0,0,0,5,0,0,0,0,0,0,0,0,11
"-2845.706",36,2,0,0,50,1,1,0,1,1,0,0,5,8
"-2845.707",18,2,0,0,0,0,0,0,0,0,0,0,0,18
"-2845.733",25,0,0,0,0,0,0,0,0,0,0,0,0,9
"-2845.745",21,0,0,0,0,0,0,0,0,0,0,0,0,3
"-2845.746",36,1,0,0,3,0,0,1,0,0,0,0,0,74
"-2845.764",36,1,0,0,1,0,0,0,0,0,0,0,0,20
"-2845.786",14,0,0,0,0,0,0,0,0,0,0,0,0,5
