"project_id","placename","longitude","latitude","feature_type"
"DF_2022","-2845.621",-78.993641,36.023419,"On trail"
"DF_2022","-2845.595",-78.99395,36.022947,"Unknown"
"DF_2022","-2845.652",-78.995111,36.023145,"Unknown"
"DF_2022","-2845.706",-78.995428,36.023674,"Unknown"
"DF_2022","-2845.733",-78.994997,36.024219,"Unknown"
"DF_2022","-2845.764",-78.995199,36.024521,"Unknown"
"DF_2022","-2845.786",-78.994913,36.024929,"Unknown"
"DF_2022","-2845.746",-78.994328,36.024684,"Unknown"
"DF_2022","-2845.707",-78.993592,36.024526,"Unknown"
"DF_2022","-2845.700",-78.994082,36.024224,"Unknown"
"DF_2022","-2845.621",-78.993641,36.023419,"Unknown"
"DF_2022","-2845.631",-78.99402,36.023375,"Unknown"
"DF_2022","-2845.701",-78.994022,36.024256,"Unknown"
"DF_2022","-2845.745",-78.99334,36.02513,"Unknown"
