"class","genus","species","common_name","sp"
"Mammalia","Canis","latrans","Coyote","Canis.latrans"
"Mammalia","Castor","canadensis","North.American beaver","Castor.canadensis"
"Mammalia","Colaptes","auratus","Northern.flicker","Colaptes.auratus"
"Mammalia","Didelphis","virginiana","Virginia.opossum","Didelphis.virginiana"
"Mammalia","Dryocopus","pileatus","Pileated.woodpecker","Dryocopus.pileatus"
"Mammalia","Mus","sp.","Mouse","Mus.sp."
"Mammalia","Odocoileus","virginianus","White-tailed.deer","Odocoileus.virginianus"
"Mammalia","Procyon","lotor","Common.Racoon","Procyon.lotor"
"Mammalia","Sciurus","carolinensis","Gray.squirrel","Sciurus.carolinensis"
"Mammalia","Vulpes","sp.","Fox","Vulpes.sp."
"Mammalia","Zenaida","macroura","Mourning.dove","Zenaida.macroura"
"Mammalia",NA,NA,"White-tailed.deer","NA.NA"
