"project_id","deployment_id","placename","is_blank","class","genus","species","common_name","timestamp","number_of_objects","animal_count","event_id","event_duration","event_groupsize","event_observations"
"Gate12","-2845.595_1_3","-2845.595",0,"Mammalia","Odocoileus","virginianus","White-tailed deer",2022-11-23 03:57:35,1,1,"E0001",0,1,1
"Gate12","-2845.595_2_1","-2845.595",0,"Mammalia","Canis","latrans","Coyote",2022-10-17 19:07:41,1,1,"E0002",0,1,1
"Gate12","-2845.595_2_1","-2845.595",0,"Mammalia","Odocoileus","virginianus","White-tailed deer",2022-10-17 22:58:55,1,1,"E0003",0,1,1
"Gate12","-2845.595_2_1","-2845.595",0,"Mammalia","Odocoileus","virginianus","White-tailed deer",2022-10-18 08:13:25,1,1,"E0004",0,1,1
"Gate12","-2845.595_2_1","-2845.595",0,"Mammalia","Odocoileus","virginianus","White-tailed deer",2022-10-18 18:33:45,1,1,"E0005",0,1,1
"Gate12","-2845.595_2_1","-2845.595",0,"Mammalia","Odocoileus","virginianus","White-tailed deer",2022-10-19 01:33:26,1,1,"E0006",0,1,1
"Gate12","-2845.595_2_1","-2845.595",0,"Mammalia","Odocoileus","virginianus","White-tailed deer",2022-10-19 03:24:54,1,1,"E0007",0,1,1
"Gate12","-2845.595_2_1","-2845.595",0,"Mammalia","Odocoileus","virginianus","White-tailed deer",2022-10-19 04:09:55,1,1,"E0008",0,1,1
"Gate12","-2845.595_2_1","-2845.595",0,"Mammalia","Odocoileus","virginianus","White-tailed deer",2022-10-19 04:44:54,1,1,"E0009",0,1,1
"Gate12","-2845.595_2_1","-2845.595",0,"Mammalia","Odocoileus","virginianus","White-tailed deer",2022-10-19 09:56:03,1,1,"E0010",0,1,1
"Gate12","-2845.595_2_1","-2845.595",0,"Mammalia","Odocoileus","virginianus","White-tailed deer",2022-10-19 21:37:51,1,1,"E0011",0,1,1
"Gate12","-2845.595_2_1","-2845.595",0,"Mammalia","Odocoileus","virginianus","White-tailed deer",2022-10-20 05:30:51,1,1,"E0012",0,1,1
