Session ID,Obs Date,Time,Period of Day,Common Name,Species,Count,Obs #,Picture ID,Temp C,Temp F,Notes,Type,Species ID
1_1,10/18/2022,12:04 AM,night,White-tailed deer,Odocoileus virginianus,1,1,Unknown,11,51,,mammal,1_1.1
1_5,1/28/2023,7:36 PM,dusk,White-tailed deer,Odocoileus virginianus,1,1,0007,3,37,,mammal,
1_5,1/30/2023,4:16 PM,day,White-tailed deer,Odocoileus virginianus,6,2,0009,19,66,,mammal,
1_5,1/30/2023,4:16 PM,day,White-tailed deer,Odocoileus virginianus,1,2_02,0011,19,66,,mammal,
1_5,1/30/2023,4:18 PM,day,White-tailed deer,Odocoileus virginianus,3,2_03,0013,19,66,,mammal,
1_5,1/30/2023,4:19 PM,day,White-tailed deer,Odocoileus virginianus,3,2_04,0015,19,66,,mammal,
1_5,1/30/2023,6:44 PM,dusk,White-tailed deer,Odocoileus virginianus,4,4,0017,8,46,,mammal,
1_5,1/30/2023,6:53 PM,dusk,White-tailed deer,Odocoileus virginianus,1,5,0019,8,46,,mammal,
1_5,1/30/2023,9:24 PM,night,White-tailed deer,Odocoileus virginianus,2,6,0023,7,44,,mammal,
1_5,1/31/2023,1:10 AM,night,White-tailed deer,Odocoileus virginianus,1,7,0025,7,44,,mammal,
1_5,1/31/2023,4:29 PM,day,White-tailed deer,Odocoileus virginianus,3,8,0027,10,50,,mammal,
1_5,1/31/2023,4:29 PM,day,Canada Goose,Branta canadensis,2,9,0027,10,50,,bird,
1_5,1/31/2023,4:30 PM,day,Canada Goose,Branta canadensis,2,9_02,0029,10,50,,bird,
1_5,1/31/2023,4:30 PM,day,White-tailed deer,Odocoileus virginianus,3,8_02,0029,10,50,,mammal,
1_5,2/3/2023,1:06 AM,night,White-tailed deer,Odocoileus virginianus,1,10,0031,3,37,,mammal,
1_5,2/3/2023,6:07 AM,dawn,White-tailed deer,Odocoileus virginianus,1,11,0033,0,32,,mammal,
1_5,2/4/2023,5:33 AM,night,White-tailed deer,Odocoileus virginianus,1,12,0035,-8,18,,mammal,
2_5,1/28/2023,3:06 AM,night,Coyote,Canis latrans,1,1,0005,-3,27,,mammal,
2_5,1/28/2023,5:19 PM,day,Eastern Gray Squirrel,Sciurus carolinensis,1,2,0009,9,48,,mammal,
2_5,1/29/2023,3:01 AM,night,White-tailed deer,Odocoileus virginianus,1,3,0013,-1,31,,mammal,
2_5,1/29/2023,5:27 PM,day,White-tailed deer,Odocoileus virginianus,1,4,0015,11,51,,mammal,
2_5,1/29/2023,5:30 PM,day,White-tailed deer,Odocoileus virginianus,1,5,0017,11,51,,mammal,
2_5,1/29/2023,11:55 PM,night,White-tailed deer,Odocoileus virginianus,3,6,0021,6,42,,mammal,
2_5,1/29/2023,11:56 PM,night,White-tailed deer,Odocoileus virginianus,1,6_02,0023,7,44,,mammal,
2_5,1/29/2023,11:56 PM,night,White-tailed deer,Odocoileus virginianus,1,6_03,0025,7,44,,mammal,
2_5,2/1/2023,5:36 PM,day,Eastern Gray Squirrel,Sciurus carolinensis,1,7,0031,2,35,,mammal,
2_5,2/2/2023,5:18 AM,night,White-tailed deer,Odocoileus virginianus,2,8,0033,0,32,,mammal,
2_5,2/2/2023,6:34 AM,dawn,White-tailed deer,Odocoileus virginianus,4,9,0035,0,32,,mammal,
2_5,2/4/2023,3:08 AM,night,Coyote,Canis latrans,1,10,0039,-5,23,,mammal,
2_5,2/5/2023,8:09 PM,night,White-tailed deer,Odocoileus virginianus,1,11,0043,-3,27,,mammal,
3_5,1/27/2023,4:41 PM,day,White-tailed deer,Odocoileus virginianus,3,1,0029,6,42,,mammal,
3_5,1/27/2023,4:42 PM,day,White-tailed deer,Odocoileus virginianus,3,1_02,0031,6,42,,mammal,
3_5,1/27/2023,4:42 PM,day,White-tailed deer,Odocoileus virginianus,2,1_03,0033,6,42,,mammal,
3_5,1/27/2023,4:43 PM,day,White-tailed deer,Odocoileus virginianus,1,1_04,0035,6,42,,mammal,
3_5,1/27/2023,4:47 PM,day,White-tailed deer,Odocoileus virginianus,2,1_05,0037,6,42,,mammal,
3_5,1/27/2023,4:47 PM,day,White-tailed deer,Odocoileus virginianus,3,1_06,0039,6,42,,mammal,
3_5,1/27/2023,4:48 PM,day,White-tailed deer,Odocoileus virginianus,2,1_07,0041,6,42,,mammal,
3_5,1/27/2023,4:48 PM,day,White-tailed deer,Odocoileus virginianus,3,1_08,0043,6,42,,mammal,
3_5,1/27/2023,4:49 PM,day,White-tailed deer,Odocoileus virginianus,3,1_09,0045,6,42,,mammal,
3_5,1/30/2023,4:08 PM,day,Eastern Gray Squirrel,Sciurus carolinensis,1,2,0049,15,59,,mammal,
3_5,1/30/2023,4:11 PM,day,Eastern Gray Squirrel,Sciurus carolinensis,1,2_02,0051,15,59,,mammal,
3_5,1/30/2023,4:26 PM,day,Eastern Gray Squirrel,Sciurus carolinensis,1,3,0053,14,57,,mammal,
3_5,1/31/2023,7:53 AM,dawn,Eastern Gray Squirrel,Sciurus carolinensis,1,4,0055,9,48,,mammal,
3_5,1/31/2023,9:30 AM,day,Eastern Gray Squirrel,Sciurus carolinensis,1,5,0057,10,50,,mammal,
3_5,1/31/2023,10:22 AM,day,Eastern Gray Squirrel,Sciurus carolinensis,1,6,0059,11,51,,mammal,
3_5,1/31/2023,10:23 AM,day,Eastern Gray Squirrel,Sciurus carolinensis,1,6_02,0061,11,51,,mammal,
3_5,2/1/2023,5:47 PM,day,Eastern Gray Squirrel,Sciurus carolinensis,1,7,0063,3,37,,mammal,
4_5,1/28/2023,4:11 AM,night,Common Raccoon,Procyon lotor,1,1,0027,-1,30,,mammal,
4_5,1/28/2023,4:11 AM,night,Common Raccoon,Procyon lotor,1,1_02,0029,-1,30,,mammal,
4_5,1/28/2023,7:00 AM,dawn,Eastern Gray Squirrel,Sciurus carolinensis,1,2,0031,-1,30,,mammal,
4_5,1/28/2023,7:17 PM,dusk,White-tailed deer,Odocoileus virginianus,1,3,0033,6,42,,mammal,
4_5,1/28/2023,7:18 PM,dusk,White-tailed deer,Odocoileus virginianus,1,3_02,0035,7,44,,mammal,
4_5,1/29/2023,5:50 PM,day,Eastern Gray Squirrel,Sciurus carolinensis,1,4,0037,12,53,,mammal,
4_5,1/30/2023,4:24 PM,day,White-tailed deer,Odocoileus virginianus,1,5,0039,15,59,,mammal,
4_5,1/30/2023,4:25 PM,day,White-tailed deer,Odocoileus virginianus,1,5_02,0041,15,59,,mammal,
4_5,1/30/2023,4:25 PM,day,White-tailed deer,Odocoileus virginianus,1,5_03,0043,16,60,,mammal,
4_5,1/30/2023,9:37 PM,night,White-tailed deer,Odocoileus virginianus,1,6,0045,9,48,,mammal,
4_5,1/30/2023,9:38 PM,night,White-tailed deer,Odocoileus virginianus,1,6_02,0047,9,48,,mammal,
4_5,1/30/2023,9:40 PM,night,White-tailed deer,Odocoileus virginianus,1,6_03,0049,9,48,,mammal,
4_5,1/30/2023,9:41 PM,night,White-tailed deer,Odocoileus virginianus,1,6_04,0051,10,50,,mammal,
4_5,1/30/2023,9:42 PM,night,White-tailed deer,Odocoileus virginianus,1,6_05,0053,10,50,,mammal,
4_5,2/1/2023,5:32 PM,day,Eastern Gray Squirrel,Sciurus carolinensis,1,7,0055,4,39,,mammal,
4_5,2/1/2023,6:09 PM,dusk,White-tailed deer,Odocoileus virginianus,2,8,0057,4,39,,mammal,
4_5,2/1/2023,6:09 PM,dusk,White-tailed deer,Odocoileus virginianus,3,8_02,0059,4,39,,mammal,
4_5,2/1/2023,6:09 PM,dusk,White-tailed deer,Odocoileus virginianus,3,8_03,0061,4,39,,mammal,
4_5,2/1/2023,6:10 PM,dusk,White-tailed deer,Odocoileus virginianus,2,8_04,0063,5,41,,mammal,
4_5,2/1/2023,6:10 PM,dusk,White-tailed deer,Odocoileus virginianus,1,8_05,0065,5,41,,mammal,
4_5,2/1/2023,6:11 PM,dusk,White-tailed deer,Odocoileus virginianus,1,8_06,0067,5,41,,mammal,
4_5,2/1/2023,6:12 PM,dusk,White-tailed deer,Odocoileus virginianus,1,8_07,0069,5,41,,mammal,
4_5,2/1/2023,6:12 PM,dusk,White-tailed deer,Odocoileus virginianus,1,8_08,0071,5,41,,mammal,
4_5,2/2/2023,4:27 AM,night,Common Raccoon,Procyon lotor,2,9,0077,3,37,,mammal,
